,Adresse,Anzahl Bewertungen,Anzahl Sterne,Art der Unterkunft,Ausstattung,Gesamtnote,Hotelpersonal,Komfort,Lage,Land,Link zu Unterkunft,Name des Hotels,Ort,Preis/Leistung,Sauberkeit,Kanton
15,"Dufourstrasse 5, Seefeld, 8008 Zürich, Schweiz", 1.464 ,4,Hotel,"8,4"," 8,7 ","9,0","8,4","9,3", Schweiz,https://www.booking.com/hotel/ch/operahotel.de.html,Hotel Opera Zürich,"47.36429381,8.54751617","7,7","9,2",Zürich
16,"Vulkanstraße 108b, Altstetten, 8001 Zürich, Schweiz", 255 ,,Hotel,"8,7"," 8,6 ","9,0","8,7","7,9", Schweiz,https://www.booking.com/hotel/ch/a-ja-zurich-das-city-resort.de.html,aja Zürich,"47.39335700,8.48449900","8,2","9,3",Zürich
17,"Niederdorfstrasse 10, Stadtzentrum, 8001 Zürich, Schweiz", 1.213 ,4,Hotel,"7,9"," 8,3 ","8,9","8,0","9,2", Schweiz,https://www.booking.com/hotel/ch/wellenberg.de.html,Boutique Hotel Wellenberg,"47.37311296,8.54390055","7,3","8,5",Zürich
18,"Pfingstweidstrasse 102, Gewerbeschule, 8005 Zürich, Schweiz", 1.623 ,4,Hotel,"8,9"," 8,8 ","9,0","9,0","8,2", Schweiz,https://www.booking.com/hotel/ch/hours-za1-4rich-west.de.html,25hours Hotel Zürich West,"47.39058249,8.50945270","8,3","9,2",Zürich
19,"Neumühlequai 42, Stadtzentrum, 8006 Zürich, Schweiz", 1.561 ,5,Hotel,"8,0"," 8,1 ","8,4","8,2","8,2", Schweiz,https://www.booking.com/hotel/ch/zurich-marriott.de.html,Zurich Marriott Hotel,"47.38247955,8.54035601","7,1","8,5",Zürich
20,"Schulstrasse 44, Oerlikon, 8050 Zürich, Schweiz", 1.995 ,4,Hotel,"8,4"," 8,5 ","8,8","8,6","8,7", Schweiz,https://www.booking.com/hotel/ch/swissotelzurich.de.html,Swissotel Zurich,"47.41093057,8.54362428","7,8","8,8",Zürich
21,"Sihlstrasse 9, Stadtzentrum, 8001 Zürich, Schweiz", 1.976 ,3,Hotel,"8,1"," 8,5 ","8,7","8,3","9,4", Schweiz,https://www.booking.com/hotel/ch/sorellseidenhof.de.html,Sorell Hotel Seidenhof,"47.37370693,8.53720978","7,7","8,7",Zürich
22,"Seefeldstrasse 63, Seefeld, 8008 Zürich, Schweiz", 971 ,3,Hotel,"8,5"," 8,8 ","9,3","8,6","9,1", Schweiz,https://www.booking.com/hotel/ch/hotelseefeld.de.html,Sorell Hotel Seefeld,"47.36166173,8.55126321","8,0","9,1",Zürich
23,"Motorenstrasse 11, Gewerbeschule, 8005 Zürich, Schweiz", 2.407 ,,Aparthotel,"8,3"," 8,4 ","8,6","8,2","8,4", Schweiz,https://www.booking.com/hotel/ch/inside-five-city-apartments.de.html,INSIDE FIVE - City Apartments,"47.38502864,8.52890700","8,1","8,6",Zürich
24,"Zähringerstrasse 36, Stadtzentrum, 8001 Zürich, Schweiz", 1.855 ,2,Hotel,"7,8"," 8,4 ","9,0","7,7","9,2", Schweiz,https://www.booking.com/hotel/ch/marta.de.html,Hotel Marta,"47.37598968,8.54465559","7,7","8,9",Zürich
25,"Heinrichstrasse 68, Gewerbeschule, 8005 Zürich, Schweiz", 2.130 ,,Aparthotel,"6,7"," 7,1 ","6,4","6,8","8,0", Schweiz,https://www.booking.com/hotel/ch/casa-heinrich-guesthouse.de.html,Casa Heinrich Guesthouse,"47.38416444,8.53072889","7,2","7,3",Zürich
26,"Mühlegasse 17, Stadtzentrum, 8001 Zürich, Schweiz", 1.602 ,3,Hotel,"8,5"," 8,7 ","8,7","8,6","9,4", Schweiz,https://www.booking.com/hotel/ch/swissqscheuble.de.html,Hotel Scheuble,"47.37440761,8.54484670","8,0","9,2",Zürich
27,"Tessinerplatz 9, Enge, 8002 Zürich, Schweiz", 271 ,4,Hotel,"8,2"," 8,5 ","8,9","8,5","8,8", Schweiz,https://www.booking.com/hotel/ch/hotelascot.de.html,FIFA Hotel Ascot,"47.36388141,8.53198953","7,2","9,1",Zürich
28,"Kalandergasse 1, Wiedikon, 8045 Zürich, Schweiz", 244 ,4,Hotel,"8,6"," 8,7 ","9,0","9,0","8,7", Schweiz,https://www.booking.com/hotel/ch/four-points-sihlcity-zurich.de.html,Four Points by Sheraton Sihlcity Zürich,"47.35913625,8.52299005","7,6","9,1",Zürich
29,"Lorenweg 29, 8610 Uster, Schweiz", 305 ,3 Sterne,Aparthotel,"8,2"," 8,0 ","7,7","8,2","7,5", Schweiz,https://www.booking.com/hotel/ch/residence-loren.de.html,Hotel Residence Loren,"47.35687685,8.70879203","7,8","8,6",Zürich
30,"Schimmelstrasse 6, Aussersihl, 8003 Zürich, Schweiz", 27 ,,Aparthotel,"9,5"," 9,5 ","9,4","9,6","9,0", Schweiz,https://www.booking.com/hotel/ch/zurich-furnished-homes.de.html,Zurich Furnished Homes,"47.36994900,8.52568200","9,5","9,6",Zürich
31,"Turbinenstrasse 20, Gewerbeschule, 8005 Zürich, Schweiz", 1.800 ,5,Hotel,"8,2"," 8,1 ","8,4","8,5","7,6", Schweiz,https://www.booking.com/hotel/ch/renaissance-zurich-tower.de.html,Renaissance Zurich Tower Hotel,"47.38802117,8.51461083","7,6","8,5",Zürich
